0.00, 0.00, 1.00, 0.80
0.00, 0.00, 1.00, 0.80
0.42, 0.38, 1.00, 0.80
6.72, 13.06, 1.01, 0.81
10.78, 21.69, 1.16, 0.93
8.61, 29.84, 1.16, 0.93
12.80, 15.33, 1.54, 1.23
12.03, 14.08, 1.54, 1.23
15.60, 17.28, 1.95, 1.56
20.30, 18.27, 2.30, 1.84
22.27, 22.69, 2.30, 1.84
22.70, 26.74, 2.60, 2.08
28.73, 29.17, 2.60, 2.08
27.58, 29.87, 2.71, 2.17
33.16, 33.33, 2.82, 2.26
33.30, 33.60, 2.82, 2.26
33.39, 35.81, 2.98, 2.38
34.50, 36.10, 2.97, 2.38
33.77, 35.35, 2.97, 2.38
31.82, 36.02, 2.98, 2.38
34.12, 36.52, 2.76, 2.21
30.25, 37.47, 2.76, 2.21
32.04, 35.31, 2.23, 1.78
29.61, 34.05, 2.23, 1.78
29.55, 33.95, 1.77, 1.42
29.81, 35.94, 1.16, 0.93
28.17, 35.20, 1.16, 0.93
30.22, 32.05, 0.57, 0.46
29.59, 34.08, 0.57, 0.46
28.77, 33.20, -0.30, -0.24
30.87, 32.63, -0.87, -0.70
28.87, 33.14, -0.87, -0.70
31.76, 32.70, -1.40, -1.12
32.77, 32.02, -1.40, -1.12
35.71, 35.76, -1.73, -1.38
29.89, 33.67, -1.87, -1.50
34.45, 29.76, -1.87, -1.50
35.50, 32.18, -1.84, -1.47
34.69, 31.95, -1.59, -1.27
34.76, 29.95, -1.59, -1.27
33.75, 32.38, -1.07, -0.86
34.68, 29.38, -0.53, -0.42
35.11, 27.98, -0.53, -0.42
31.82, 30.28, 0.04, 0.03
30.60, 30.43, 0.04, 0.03
31.29, 33.12, 0.64, 0.51
31.74, 29.96, 1.01, 0.81
35.33, 31.42, 1.01, 0.81
31.71, 36.37, 1.36, 1.09
28.64, 32.91, 1.36, 1.09
32.45, 33.24, 1.32, 1.06
31.72, 34.26, 1.15, 0.92
31.65, 35.62, 1.15, 0.92
29.48, 34.62, 0.93, 0.74
34.05, 32.82, 0.93, 0.74
33.79, 33.25, 0.56, 0.45
32.29, 33.57, 0.26, 0.21
31.54, 33.30, 0.26, 0.21
33.44, 34.75, -0.05, -0.04
30.09, 31.95, -0.37, -0.30
31.76, 31.14, -0.37, -0.30
EndTime: 14672.00
