0.00, 0.00, 1.00, 0.30
0.00, 0.00, 1.00, 0.30
0.00, 0.45, 1.00, 0.30
3.59, 15.19, 1.00, 0.30
7.98, 21.02, 1.00, 0.30
10.32, 20.04, 1.06, 0.32
9.20, 11.63, 1.32, 0.40
11.79, 15.60, 1.32, 0.40
10.81, 14.99, 1.55, 0.47
14.59, 20.61, 1.55, 0.47
22.53, 25.02, 1.50, 0.45
20.46, 21.40, 1.49, 0.45
30.19, 29.26, 1.49, 0.45
31.91, 30.75, 1.62, 0.49
31.00, 36.24, 1.62, 0.49
32.18, 30.79, 1.77, 0.53
30.39, 36.41, 2.03, 0.61
37.09, 33.54, 2.03, 0.61
33.33, 36.22, 2.21, 0.66
32.64, 32.92, 2.23, 0.67
33.18, 33.28, 2.23, 0.67
33.06, 32.21, 2.32, 0.70
34.21, 34.62, 2.32, 0.70
32.05, 32.98, 2.40, 0.72
31.97, 31.34, 2.33, 0.70
33.07, 34.47, 2.33, 0.70
31.52, 30.03, 2.21, 0.66
31.49, 33.37, 2.21, 0.66
32.94, 32.25, 2.13, 0.64
30.63, 31.88, 1.95, 0.59
31.51, 33.26, 1.95, 0.59
33.00, 33.53, 1.74, 0.52
31.89, 33.19, 1.55, 0.47
31.96, 34.47, 1.55, 0.47
31.24, 32.84, 1.40, 0.42
31.68, 33.94, 1.40, 0.42
35.35, 34.06, 1.28, 0.38
31.43, 34.52, 1.35, 0.41
30.07, 32.63, 1.35, 0.41
37.46, 34.31, 1.19, 0.36
31.03, 30.86, 1.19, 0.36
31.81, 30.60, 1.18, 0.35
33.57, 32.10, 1.41, 0.42
30.69, 32.89, 1.41, 0.42
33.48, 31.18, 1.37, 0.41
30.80, 30.28, 1.45, 0.44
32.67, 35.78, 1.45, 0.44
33.35, 33.72, 1.37, 0.41
30.29, 35.87, 1.37, 0.41
32.67, 33.28, 1.09, 0.33
35.95, 32.90, 0.88, 0.26
32.08, 37.02, 0.88, 0.26
30.87, 32.24, 0.83, 0.25
32.06, 32.97, 0.83, 0.25
32.63, 33.72, 0.98, 0.29
35.28, 33.82, 1.11, 0.33
29.93, 33.17, 1.11, 0.33
31.37, 30.34, 1.12, 0.34
35.58, 31.11, 1.15, 0.35
28.87, 31.50, 1.15, 0.35
31.01, 31.78, 1.13, 0.34
EndTime: 21544.00
